########################### MODEL 100 states #################################
-------------- Train Model with 100 states------------------
BW-Algo: 1.iteration taking 7.796999931335449 LogLiklihood: -57814.8253132705
BW-Algo: 2.iteration taking 7.5269999504089355 LogLiklihood: -47057.90367620535
BW-Algo: 3.iteration taking 8.148000001907349 LogLiklihood: -47030.59118590248
BW-Algo: 4.iteration taking 8.047000169754028 LogLiklihood: -46994.1251468758
BW-Algo: 5.iteration taking 9.649999856948853 LogLiklihood: -46936.53057070541
BW-Algo: 6.iteration taking 8.281000137329102 LogLiklihood: -46826.31506124967
BW-Algo: 7.iteration taking 7.723999977111816 LogLiklihood: -46554.51466940758
BW-Algo: 8.iteration taking 7.622999906539917 LogLiklihood: -45603.90871134204
BW-Algo: 9.iteration taking 8.062999963760376 LogLiklihood: -41879.64793592866
BW-Algo: 10.iteration taking 9.146000146865845 LogLiklihood: -35954.615252519565
BW-Algo: 11.iteration taking 9.651999950408936 LogLiklihood: -32738.67563391431
BW-Algo: 12.iteration taking 9.944999933242798 LogLiklihood: -31186.94840712775
BW-Algo: 13.iteration taking 8.70900011062622 LogLiklihood: -30163.092214868513
BW-Algo: 14.iteration taking 7.7749998569488525 LogLiklihood: -29609.885993342436
BW-Algo: 15.iteration taking 8.261000156402588 LogLiklihood: -29276.927048054127
BW-Algo: 16.iteration taking 8.037999868392944 LogLiklihood: -29031.523252185103
BW-Algo: 17.iteration taking 8.522000074386597 LogLiklihood: -28849.12006190839
BW-Algo: 18.iteration taking 7.832000017166138 LogLiklihood: -28701.862279512494
BW-Algo: 19.iteration taking 8.04200005531311 LogLiklihood: -28583.403964452413
BW-Algo: 20.iteration taking 8.34500002861023 LogLiklihood: -28484.54870729155
BW-Algo: 21.iteration taking 8.149999856948853 LogLiklihood: -28404.974677959948
BW-Algo: 22.iteration taking 7.263999938964844 LogLiklihood: -28334.24828835328
BW-Algo: 23.iteration taking 7.668000221252441 LogLiklihood: -28269.54399902589
BW-Algo: 24.iteration taking 7.523999929428101 LogLiklihood: -28211.975254520887
BW-Algo: 25.iteration taking 8.07099986076355 LogLiklihood: -28161.40076843563
BW-Algo: 26.iteration taking 8.361999988555908 LogLiklihood: -28118.241225949598
BW-Algo: 27.iteration taking 7.391000032424927 LogLiklihood: -28079.978685760107
BW-Algo: 28.iteration taking 7.308000087738037 LogLiklihood: -28042.330306957294
BW-Algo: 29.iteration taking 8.151000022888184 LogLiklihood: -28001.51559674876
BW-Algo: 30.iteration taking 9.450999975204468 LogLiklihood: -27966.250812314207
BW-Algo: 31.iteration taking 8.292999982833862 LogLiklihood: -27937.449813402694
BW-Algo: 32.iteration taking 8.29200005531311 LogLiklihood: -27912.229773564934
BW-Algo: 33.iteration taking 7.61299991607666 LogLiklihood: -27888.090464592617
BW-Algo: 34.iteration taking 7.246000051498413 LogLiklihood: -27862.683899290405
BW-Algo: 35.iteration taking 7.35699987411499 LogLiklihood: -27836.920901520618
BW-Algo: 36.iteration taking 7.449000120162964 LogLiklihood: -27814.355806496405
BW-Algo: 37.iteration taking 7.388999938964844 LogLiklihood: -27795.43797136459
BW-Algo: 38.iteration taking 7.312000036239624 LogLiklihood: -27779.194593454333
BW-Algo: 39.iteration taking 7.426000118255615 LogLiklihood: -27766.165987371238
BW-Algo: 40.iteration taking 8.413999795913696 LogLiklihood: -27754.21596173567
BW-Algo: 41.iteration taking 7.311000108718872 LogLiklihood: -27740.08585901639
BW-Algo: 42.iteration taking 7.6540000438690186 LogLiklihood: -27725.110642936375
BW-Algo: 43.iteration taking 7.434999942779541 LogLiklihood: -27714.374513003073
BW-Algo: 44.iteration taking 7.061000108718872 LogLiklihood: -27705.948771144722
BW-Algo: 45.iteration taking 7.867999792098999 LogLiklihood: -27698.49474623293
BW-Algo: 46.iteration taking 7.328000068664551 LogLiklihood: -27691.73718360251
BW-Algo: 47.iteration taking 8.582000017166138 LogLiklihood: -27685.727516635234
BW-Algo: 48.iteration taking 7.7790000438690186 LogLiklihood: -27679.368999709328
BW-Algo: 49.iteration taking 8.785000085830688 LogLiklihood: -27671.320873831515
BW-Algo: 50.iteration taking 7.505999803543091 LogLiklihood: -27662.487026911935
BW-Algo: 51.iteration taking 8.331000089645386 LogLiklihood: -27653.318976340866
BW-Algo: 52.iteration taking 7.288000106811523 LogLiklihood: -27644.747128029703
BW-Algo: 53.iteration taking 7.417999982833862 LogLiklihood: -27638.212233370912
BW-Algo: 54.iteration taking 7.82699990272522 LogLiklihood: -27632.448894095913
BW-Algo: 55.iteration taking 7.394999980926514 LogLiklihood: -27626.954903621514
BW-Algo: 56.iteration taking 7.66700005531311 LogLiklihood: -27621.22907580014
BW-Algo: 57.iteration taking 7.490000009536743 LogLiklihood: -27615.568685033348
BW-Algo: 58.iteration taking 7.797999858856201 LogLiklihood: -27610.920743228507
BW-Algo: 59.iteration taking 7.684000015258789 LogLiklihood: -27606.703344982052
BW-Algo: 60.iteration taking 7.493000030517578 LogLiklihood: -27602.340004691043
BW-Algo: 61.iteration taking 7.144000053405762 LogLiklihood: -27597.79889333959
BW-Algo: 62.iteration taking 7.243000030517578 LogLiklihood: -27593.82573425139
BW-Algo: 63.iteration taking 7.398999929428101 LogLiklihood: -27590.418218944287
BW-Algo: 64.iteration taking 8.029000043869019 LogLiklihood: -27586.949270915167
BW-Algo: 65.iteration taking 7.165999889373779 LogLiklihood: -27583.94496549001
BW-Algo: 66.iteration taking 7.300000190734863 LogLiklihood: -27580.944252129833
BW-Algo: 67.iteration taking 7.336999893188477 LogLiklihood: -27577.015014755627
BW-Algo: 68.iteration taking 7.354000091552734 LogLiklihood: -27572.395151585617
BW-Algo: 69.iteration taking 7.454999923706055 LogLiklihood: -27568.994473148952
BW-Algo: 70.iteration taking 7.203999996185303 LogLiklihood: -27566.04534370054
BW-Algo: 71.iteration taking 7.413000106811523 LogLiklihood: -27563.347766018465
BW-Algo: 72.iteration taking 7.148999929428101 LogLiklihood: -27560.88740232009
BW-Algo: 73.iteration taking 7.670000076293945 LogLiklihood: -27558.63945746405
BW-Algo: 74.iteration taking 7.898999929428101 LogLiklihood: -27556.377044505673
BW-Algo: 75.iteration taking 7.641999959945679 LogLiklihood: -27553.905432293475
BW-Algo: 76.iteration taking 7.36899995803833 LogLiklihood: -27551.086716696278
BW-Algo: 77.iteration taking 7.307000160217285 LogLiklihood: -27547.730280835563
BW-Algo: 78.iteration taking 7.434999942779541 LogLiklihood: -27543.53980015158
BW-Algo: 79.iteration taking 7.35099983215332 LogLiklihood: -27538.729588357746
BW-Algo: 80.iteration taking 7.076000213623047 LogLiklihood: -27534.933574436116
BW-Algo: 81.iteration taking 8.11299991607666 LogLiklihood: -27532.037804010513
BW-Algo: 82.iteration taking 7.004999876022339 LogLiklihood: -27529.166207165174
BW-Algo: 83.iteration taking 7.309000015258789 LogLiklihood: -27526.132042823054
BW-Algo: 84.iteration taking 7.457000017166138 LogLiklihood: -27523.564038566168
BW-Algo: 85.iteration taking 7.255000114440918 LogLiklihood: -27521.700592909903
BW-Algo: 86.iteration taking 7.563999891281128 LogLiklihood: -27520.01690953208
BW-Algo: 87.iteration taking 7.7230000495910645 LogLiklihood: -27518.053364192572
BW-Algo: 88.iteration taking 7.480000019073486 LogLiklihood: -27515.769986133753
BW-Algo: 89.iteration taking 7.4040000438690186 LogLiklihood: -27513.446234716997
BW-Algo: 90.iteration taking 7.5309998989105225 LogLiklihood: -27511.21890041094
BW-Algo: 91.iteration taking 7.25600004196167 LogLiklihood: -27508.932675799188
BW-Algo: 92.iteration taking 7.821000099182129 LogLiklihood: -27506.521654039625
BW-Algo: 93.iteration taking 7.722999811172485 LogLiklihood: -27504.490830327777
BW-Algo: 94.iteration taking 7.175000190734863 LogLiklihood: -27502.811818068876
BW-Algo: 95.iteration taking 7.010999917984009 LogLiklihood: -27501.24229493123
BW-Algo: 96.iteration taking 7.079999923706055 LogLiklihood: -27499.688990882452
BW-Algo: 97.iteration taking 7.127000093460083 LogLiklihood: -27498.115331516317
BW-Algo: 98.iteration taking 7.037999868392944 LogLiklihood: -27496.47419374711
BW-Algo: 99.iteration taking 7.402000188827515 LogLiklihood: -27494.722620148183
BW-Algo: 100.iteration taking 7.291999816894531 LogLiklihood: -27492.86702694196
 ### Timing: {774477 milliseconds} ### 
-------------- Calc forecast distribution for {100} states------------------
 ### Timing: {1621 milliseconds} ### 
-------------- Generate PIT plots for {100} states------------------
 ### Timing: {4497 milliseconds} ### 

 BW-Algo: 1.iteration taking 7.796999931335449 LogLiklihood: -57814.8253132705
BW-Algo: 2.iteration taking 7.5269999504089355 LogLiklihood: -47057.90367620535
BW-Algo: 3.iteration taking 8.148000001907349 LogLiklihood: -47030.59118590248
BW-Algo: 4.iteration taking 8.047000169754028 LogLiklihood: -46994.1251468758
BW-Algo: 5.iteration taking 9.649999856948853 LogLiklihood: -46936.53057070541
BW-Algo: 6.iteration taking 8.281000137329102 LogLiklihood: -46826.31506124967
BW-Algo: 7.iteration taking 7.723999977111816 LogLiklihood: -46554.51466940758
BW-Algo: 8.iteration taking 7.622999906539917 LogLiklihood: -45603.90871134204
BW-Algo: 9.iteration taking 8.062999963760376 LogLiklihood: -41879.64793592866
BW-Algo: 10.iteration taking 9.146000146865845 LogLiklihood: -35954.615252519565
BW-Algo: 11.iteration taking 9.651999950408936 LogLiklihood: -32738.67563391431
BW-Algo: 12.iteration taking 9.944999933242798 LogLiklihood: -31186.94840712775
BW-Algo: 13.iteration taking 8.70900011062622 LogLiklihood: -30163.092214868513
BW-Algo: 14.iteration taking 7.7749998569488525 LogLiklihood: -29609.885993342436
BW-Algo: 15.iteration taking 8.261000156402588 LogLiklihood: -29276.927048054127
BW-Algo: 16.iteration taking 8.037999868392944 LogLiklihood: -29031.523252185103
BW-Algo: 17.iteration taking 8.522000074386597 LogLiklihood: -28849.12006190839
BW-Algo: 18.iteration taking 7.832000017166138 LogLiklihood: -28701.862279512494
BW-Algo: 19.iteration taking 8.04200005531311 LogLiklihood: -28583.403964452413
BW-Algo: 20.iteration taking 8.34500002861023 LogLiklihood: -28484.54870729155
BW-Algo: 21.iteration taking 8.149999856948853 LogLiklihood: -28404.974677959948
BW-Algo: 22.iteration taking 7.263999938964844 LogLiklihood: -28334.24828835328
BW-Algo: 23.iteration taking 7.668000221252441 LogLiklihood: -28269.54399902589
BW-Algo: 24.iteration taking 7.523999929428101 LogLiklihood: -28211.975254520887
BW-Algo: 25.iteration taking 8.07099986076355 LogLiklihood: -28161.40076843563
BW-Algo: 26.iteration taking 8.361999988555908 LogLiklihood: -28118.241225949598
BW-Algo: 27.iteration taking 7.391000032424927 LogLiklihood: -28079.978685760107
BW-Algo: 28.iteration taking 7.308000087738037 LogLiklihood: -28042.330306957294
BW-Algo: 29.iteration taking 8.151000022888184 LogLiklihood: -28001.51559674876
BW-Algo: 30.iteration taking 9.450999975204468 LogLiklihood: -27966.250812314207
BW-Algo: 31.iteration taking 8.292999982833862 LogLiklihood: -27937.449813402694
BW-Algo: 32.iteration taking 8.29200005531311 LogLiklihood: -27912.229773564934
BW-Algo: 33.iteration taking 7.61299991607666 LogLiklihood: -27888.090464592617
BW-Algo: 34.iteration taking 7.246000051498413 LogLiklihood: -27862.683899290405
BW-Algo: 35.iteration taking 7.35699987411499 LogLiklihood: -27836.920901520618
BW-Algo: 36.iteration taking 7.449000120162964 LogLiklihood: -27814.355806496405
BW-Algo: 37.iteration taking 7.388999938964844 LogLiklihood: -27795.43797136459
BW-Algo: 38.iteration taking 7.312000036239624 LogLiklihood: -27779.194593454333
BW-Algo: 39.iteration taking 7.426000118255615 LogLiklihood: -27766.165987371238
BW-Algo: 40.iteration taking 8.413999795913696 LogLiklihood: -27754.21596173567
BW-Algo: 41.iteration taking 7.311000108718872 LogLiklihood: -27740.08585901639
BW-Algo: 42.iteration taking 7.6540000438690186 LogLiklihood: -27725.110642936375
BW-Algo: 43.iteration taking 7.434999942779541 LogLiklihood: -27714.374513003073
BW-Algo: 44.iteration taking 7.061000108718872 LogLiklihood: -27705.948771144722
BW-Algo: 45.iteration taking 7.867999792098999 LogLiklihood: -27698.49474623293
BW-Algo: 46.iteration taking 7.328000068664551 LogLiklihood: -27691.73718360251
BW-Algo: 47.iteration taking 8.582000017166138 LogLiklihood: -27685.727516635234
BW-Algo: 48.iteration taking 7.7790000438690186 LogLiklihood: -27679.368999709328
BW-Algo: 49.iteration taking 8.785000085830688 LogLiklihood: -27671.320873831515
BW-Algo: 50.iteration taking 7.505999803543091 LogLiklihood: -27662.487026911935
BW-Algo: 51.iteration taking 8.331000089645386 LogLiklihood: -27653.318976340866
BW-Algo: 52.iteration taking 7.288000106811523 LogLiklihood: -27644.747128029703
BW-Algo: 53.iteration taking 7.417999982833862 LogLiklihood: -27638.212233370912
BW-Algo: 54.iteration taking 7.82699990272522 LogLiklihood: -27632.448894095913
BW-Algo: 55.iteration taking 7.394999980926514 LogLiklihood: -27626.954903621514
