 ########################### MODEL 50 states #################################
-------------- Train Model with 50 states------------------
BW-Algo: 1.iteration taking 1.934999942779541 LogLiklihood: -56619.922533994264
BW-Algo: 2.iteration taking 1.7060000896453857 LogLiklihood: -46416.19221504514
BW-Algo: 3.iteration taking 1.7599999904632568 LogLiklihood: -46355.5102516002
BW-Algo: 4.iteration taking 1.8229999542236328 LogLiklihood: -46254.58968973998
BW-Algo: 5.iteration taking 1.9279999732971191 LogLiklihood: -46045.76927589158
BW-Algo: 6.iteration taking 1.749000072479248 LogLiklihood: -45511.87029371143
BW-Algo: 7.iteration taking 1.7999999523162842 LogLiklihood: -43905.72843257725
BW-Algo: 8.iteration taking 1.8280000686645508 LogLiklihood: -40433.49559524078
BW-Algo: 9.iteration taking 1.8020000457763672 LogLiklihood: -36814.15762967535
BW-Algo: 10.iteration taking 1.8399999141693115 LogLiklihood: -33772.4023213781
BW-Algo: 11.iteration taking 1.751000165939331 LogLiklihood: -31543.35037127825
BW-Algo: 12.iteration taking 1.8489999771118164 LogLiklihood: -30434.062288695448
BW-Algo: 13.iteration taking 1.809000015258789 LogLiklihood: -29918.878895566864
BW-Algo: 14.iteration taking 1.8359999656677246 LogLiklihood: -29592.74099639465
BW-Algo: 15.iteration taking 1.753999948501587 LogLiklihood: -29341.714197833935
BW-Algo: 16.iteration taking 1.8310000896453857 LogLiklihood: -29153.35639375815
BW-Algo: 17.iteration taking 1.810999870300293 LogLiklihood: -29012.42732774678
BW-Algo: 18.iteration taking 1.9079999923706055 LogLiklihood: -28912.09445092246
BW-Algo: 19.iteration taking 1.9110000133514404 LogLiklihood: -28831.630749333468
BW-Algo: 20.iteration taking 1.8600001335144043 LogLiklihood: -28766.30958567474
BW-Algo: 21.iteration taking 1.807999849319458 LogLiklihood: -28709.646478712406
BW-Algo: 22.iteration taking 1.8420000076293945 LogLiklihood: -28663.06050247839
BW-Algo: 23.iteration taking 1.7950000762939453 LogLiklihood: -28625.93570850998
BW-Algo: 24.iteration taking 1.8320000171661377 LogLiklihood: -28587.52538935766
BW-Algo: 25.iteration taking 1.8220000267028809 LogLiklihood: -28549.638950531622
BW-Algo: 26.iteration taking 1.9110000133514404 LogLiklihood: -28512.012219297547
BW-Algo: 27.iteration taking 1.8299999237060547 LogLiklihood: -28478.814610519108
BW-Algo: 28.iteration taking 1.8299999237060547 LogLiklihood: -28452.289633076187
BW-Algo: 29.iteration taking 1.7590000629425049 LogLiklihood: -28431.302253272035
BW-Algo: 30.iteration taking 1.810999870300293 LogLiklihood: -28410.91889927185
BW-Algo: 31.iteration taking 1.7750000953674316 LogLiklihood: -28388.4570876485
BW-Algo: 32.iteration taking 1.814000129699707 LogLiklihood: -28366.08183334129
BW-Algo: 33.iteration taking 1.8509998321533203 LogLiklihood: -28347.66764317839
BW-Algo: 34.iteration taking 1.819000005722046 LogLiklihood: -28330.82049677921
BW-Algo: 35.iteration taking 1.7699999809265137 LogLiklihood: -28314.50927932348
BW-Algo: 36.iteration taking 1.7990000247955322 LogLiklihood: -28298.83663094107
BW-Algo: 37.iteration taking 1.753999948501587 LogLiklihood: -28283.99630591064
BW-Algo: 38.iteration taking 1.8000001907348633 LogLiklihood: -28271.267605408033
BW-Algo: 39.iteration taking 1.7869999408721924 LogLiklihood: -28260.039103729738
BW-Algo: 40.iteration taking 1.8339998722076416 LogLiklihood: -28249.546070662218
BW-Algo: 41.iteration taking 1.8370001316070557 LogLiklihood: -28239.200913427594
BW-Algo: 42.iteration taking 1.8409998416900635 LogLiklihood: -28229.029455151023
BW-Algo: 43.iteration taking 1.818000078201294 LogLiklihood: -28218.70922668635
BW-Algo: 44.iteration taking 1.8489999771118164 LogLiklihood: -28207.136317834902
BW-Algo: 45.iteration taking 1.811000108718872 LogLiklihood: -28196.958349207085
BW-Algo: 46.iteration taking 1.8499999046325684 LogLiklihood: -28188.028794866015
BW-Algo: 47.iteration taking 1.7790000438690186 LogLiklihood: -28181.304804618907
BW-Algo: 48.iteration taking 1.8700001239776611 LogLiklihood: -28174.679158100884
BW-Algo: 49.iteration taking 1.8319997787475586 LogLiklihood: -28166.871775945307
BW-Algo: 50.iteration taking 1.8680000305175781 LogLiklihood: -28159.746086098214
BW-Algo: 51.iteration taking 1.7620000839233398 LogLiklihood: -28153.231457084108
BW-Algo: 52.iteration taking 1.869999885559082 LogLiklihood: -28146.403325145955
BW-Algo: 53.iteration taking 1.7900002002716064 LogLiklihood: -28139.9991922338
BW-Algo: 54.iteration taking 1.7999999523162842 LogLiklihood: -28133.88444062881
BW-Algo: 55.iteration taking 1.8239998817443848 LogLiklihood: -28128.211018639686
BW-Algo: 56.iteration taking 1.8650000095367432 LogLiklihood: -28123.297960287302
BW-Algo: 57.iteration taking 2.128000020980835 LogLiklihood: -28117.192244955768
BW-Algo: 58.iteration taking 1.9809999465942383 LogLiklihood: -28111.949697484375
BW-Algo: 59.iteration taking 1.88100004196167 LogLiklihood: -28107.961707136128
BW-Algo: 60.iteration taking 1.9230000972747803 LogLiklihood: -28103.919887398955
BW-Algo: 61.iteration taking 1.937000036239624 LogLiklihood: -28099.237805691493
BW-Algo: 62.iteration taking 2.1009998321533203 LogLiklihood: -28094.04783323626
BW-Algo: 63.iteration taking 1.8660001754760742 LogLiklihood: -28089.79197822762
BW-Algo: 64.iteration taking 1.7949998378753662 LogLiklihood: -28085.8748934488
BW-Algo: 65.iteration taking 1.818000078201294 LogLiklihood: -28081.814928238466
BW-Algo: 66.iteration taking 1.8299999237060547 LogLiklihood: -28077.183143527818
BW-Algo: 67.iteration taking 1.8610000610351562 LogLiklihood: -28070.36377400106
BW-Algo: 68.iteration taking 1.8299999237060547 LogLiklihood: -28062.530681252276
BW-Algo: 69.iteration taking 1.820000171661377 LogLiklihood: -28054.83242008638
BW-Algo: 70.iteration taking 1.8399999141693115 LogLiklihood: -28047.745274053617
BW-Algo: 71.iteration taking 1.8919999599456787 LogLiklihood: -28042.699437730553
BW-Algo: 72.iteration taking 1.8280000686645508 LogLiklihood: -28038.135555918834
BW-Algo: 73.iteration taking 1.8489999771118164 LogLiklihood: -28033.64426078947
BW-Algo: 74.iteration taking 1.9010000228881836 LogLiklihood: -28029.197355783443
BW-Algo: 75.iteration taking 1.878000020980835 LogLiklihood: -28024.59954046434
BW-Algo: 76.iteration taking 1.8020000457763672 LogLiklihood: -28019.46836155478
BW-Algo: 77.iteration taking 1.8589999675750732 LogLiklihood: -28013.663130531488
BW-Algo: 78.iteration taking 1.7829999923706055 LogLiklihood: -28007.145985686497
BW-Algo: 79.iteration taking 1.815999984741211 LogLiklihood: -28000.280867926915
BW-Algo: 80.iteration taking 1.8420000076293945 LogLiklihood: -27993.567241230812
BW-Algo: 81.iteration taking 1.8359999656677246 LogLiklihood: -27986.919024611467
BW-Algo: 82.iteration taking 1.803999900817871 LogLiklihood: -27980.346271972146
BW-Algo: 83.iteration taking 1.823000192642212 LogLiklihood: -27974.41011143736
BW-Algo: 84.iteration taking 1.819000005722046 LogLiklihood: -27969.487925478756
BW-Algo: 85.iteration taking 1.876999855041504 LogLiklihood: -27964.912552768204
BW-Algo: 86.iteration taking 1.8289999961853027 LogLiklihood: -27959.64378878208
BW-Algo: 87.iteration taking 1.8410000801086426 LogLiklihood: -27955.867240407417
BW-Algo: 88.iteration taking 1.7849998474121094 LogLiklihood: -27952.766097737534
BW-Algo: 89.iteration taking 1.7960000038146973 LogLiklihood: -27950.225569397237
BW-Algo: 90.iteration taking 1.7700002193450928 LogLiklihood: -27947.902371739492
BW-Algo: 91.iteration taking 1.7899999618530273 LogLiklihood: -27945.61689344551
BW-Algo: 92.iteration taking 1.7699999809265137 LogLiklihood: -27943.356969900087
BW-Algo: 93.iteration taking 1.7939999103546143 LogLiklihood: -27941.092374600412
BW-Algo: 94.iteration taking 1.7650001049041748 LogLiklihood: -27938.297668969914
BW-Algo: 95.iteration taking 1.8320000171661377 LogLiklihood: -27932.769443930287
BW-Algo: 96.iteration taking 1.7779998779296875 LogLiklihood: -27925.759796538034
BW-Algo: 97.iteration taking 1.8020000457763672 LogLiklihood: -27920.88688458128
BW-Algo: 98.iteration taking 1.7679998874664307 LogLiklihood: -27916.4307916449
BW-Algo: 99.iteration taking 1.8380000591278076 LogLiklihood: -27913.380863912946
BW-Algo: 100.iteration taking 1.7829999923706055 LogLiklihood: -27911.125687532447
 ### Timing: {183184 milliseconds} ###
-------------- Calc forecast distribution for {50} states------------------
 ### Timing: {377 milliseconds} ### 
-------------- Generate PIT plots for {50} states------------------
 ### Timing: {1055 milliseconds} ### 
