NumberOfStates,HistoricWindowLength,mae
10,1,67190.45733837907
10,5,67825.22045608067
10,10,67759.44455855705
10,20,67759.8745487532
20,1,62263.85888946758
20,5,62377.10141157411
20,10,62326.84617944451
20,20,62321.62696403425
30,1,61615.39952287871
30,5,61138.514842912286
30,10,60921.907253591344
30,20,60920.042419142184
40,1,62131.71294617905
40,5,60586.503188384246
40,10,60496.40971422302
40,20,60506.27036138426
50,1,61660.446518877485
50,5,60574.06249788196
50,10,60496.225837087106
50,20,60485.09368391771
60,1,61094.19889806057
60,5,59426.60991828962
60,10,59376.39702268324
60,20,59354.95594662839
80,1,62142.301877994745
80,5,61152.196020980955
80,10,60878.78651134936
80,20,60913.59603167507
100,1,61651.73599937448
100,5,60535.01765294384
100,10,60508.906327962075
100,20,60516.72694855959
