NumberOfStates,HistoricWindowLength,mae
10,1,304.08926461043654
10,5,300.9740442093844
10,10,300.967092388828
10,20,300.9710424124631
20,1,295.3899686881016
20,5,282.77739310487584
20,10,281.99347370243055
20,20,281.999597595817
30,1,295.3125598791137
30,5,281.31141438034075
30,10,281.2742558836781
30,20,281.2789377711863
40,1,295.33297365819436
40,5,279.4952066945632
40,10,279.03594272424783
40,20,279.0014375635468
50,1,294.95398674155047
50,5,278.37992409777326
50,10,277.8203813446842
50,20,277.8156524111571
60,1,295.7735798827528
60,5,279.8531170183425
60,10,278.97243758203814
60,20,279.08165456137067
80,1,295.7287638444504
80,5,281.02728484251435
80,10,280.741527774265
80,20,280.72528195365413
100,1,294.752602361814
100,5,279.7638232133699
100,10,279.05949153088494
100,20,279.1130723812747
