NumberOfStates,HistoricWindowLength,mae
10,1,0.5971177944862155
10,5,0.5987625313283208
10,10,0.5985275689223057
10,20,0.5985275689223057
20,1,0.5982926065162907
20,5,0.6051848370927319
20,10,0.6059680451127819
20,20,0.605733082706767
30,1,0.5988408521303258
30,5,0.6095708020050126
30,10,0.6084743107769424
30,20,0.6097274436090225
40,1,0.600015664160401
40,5,0.6101973684210527
40,10,0.6105106516290727
40,20,0.6103540100250626
50,1,0.5997807017543859
50,5,0.606203007518797
50,10,0.6069078947368421
50,20,0.6069862155388471
60,1,0.5981359649122807
60,5,0.6049498746867168
60,10,0.6058114035087719
60,20,0.606124686716792
80,1,0.5984492481203008
80,5,0.6094924812030075
80,10,0.6094141604010025
80,20,0.6098840852130326
100,1,0.5979793233082706
100,5,0.6074561403508771
100,10,0.6081610275689223
100,20,0.6078477443609023
