NumberOfStates,HistoricWindowLength,mae
10,1,285.6517073934837
10,5,284.40562343358397
10,10,284.343436716792
10,20,284.3512687969925
20,1,280.7835996240602
20,5,275.30036027568923
20,10,274.7796835839599
20,20,274.7005795739348
30,1,282.1907111528822
30,5,277.7290883458647
30,10,277.5541196741855
30,20,277.5439379699248
40,1,282.1280545112782
40,5,273.52404448621553
40,10,273.72564223057645
40,20,274.0028978696742
50,1,283.03328634085216
50,5,271.54566102756894
50,10,272.5962562656642
50,20,272.72297932330827
60,1,282.18867481203006
60,5,269.96013471177946
60,10,268.0356359649123
60,20,268.1593828320802
80,1,282.17849310776944
80,5,271.51621240601503
80,10,270.03125
80,20,270.1847587719298
100,1,279.9164317042607
100,5,271.0054041353383
100,10,270.8341948621554
100,20,270.59484649122805
