 ########################### MODEL 250 states #################################
-------------- Train Model with 250 states------------------
BW-Algo: 1.iteration taking 112.62800002098083 LogLiklihood: -161668.84438057832
BW-Algo: 2.iteration taking 167.44700002670288 LogLiklihood: -123001.09086339228
BW-Algo: 3.iteration taking 165.80999994277954 LogLiklihood: -122961.07416288467
BW-Algo: 4.iteration taking 185.26500010490417 LogLiklihood: -122909.06699300332
BW-Algo: 5.iteration taking 156.93299984931946 LogLiklihood: -122831.31401507815
BW-Algo: 6.iteration taking 154.1010000705719 LogLiklihood: -122697.56784073106
BW-Algo: 7.iteration taking 149.07999992370605 LogLiklihood: -122428.04620541933
BW-Algo: 8.iteration taking 155.73600006103516 LogLiklihood: -121761.97683331581
BW-Algo: 9.iteration taking 164.9079999923706 LogLiklihood: -119967.33380037246
BW-Algo: 10.iteration taking 152.10899996757507 LogLiklihood: -116877.13853534017
BW-Algo: 11.iteration taking 159.50200009346008 LogLiklihood: -113856.24001572552
BW-Algo: 12.iteration taking 160.70600008964539 LogLiklihood: -111996.25976815872
BW-Algo: 13.iteration taking 159.72899985313416 LogLiklihood: -110854.38675545227
BW-Algo: 14.iteration taking 174.67600011825562 LogLiklihood: -110056.30589929197
BW-Algo: 15.iteration taking 154.2059998512268 LogLiklihood: -109518.87022698739
BW-Algo: 16.iteration taking 183.0770001411438 LogLiklihood: -109134.17142744636
BW-Algo: 17.iteration taking 159.3090000152588 LogLiklihood: -108814.40090900376
BW-Algo: 18.iteration taking 181.77999997138977 LogLiklihood: -108519.37769142479
BW-Algo: 19.iteration taking 158.06900000572205 LogLiklihood: -108234.54183658407
BW-Algo: 20.iteration taking 155.4319999217987 LogLiklihood: -107957.72009557346
BW-Algo: 21.iteration taking 159.01699995994568 LogLiklihood: -107693.07636380449
BW-Algo: 22.iteration taking 170.71600008010864 LogLiklihood: -107446.17772902588
BW-Algo: 23.iteration taking 153.42400002479553 LogLiklihood: -107219.56858897512
BW-Algo: 24.iteration taking 174.97399997711182 LogLiklihood: -107012.35020791832
BW-Algo: 25.iteration taking 173.44799995422363 LogLiklihood: -106820.65645517751
BW-Algo: 26.iteration taking 185.32100009918213 LogLiklihood: -106639.29377473703
BW-Algo: 27.iteration taking 166.89599990844727 LogLiklihood: -106464.99066167179
BW-Algo: 28.iteration taking 177.4779999256134 LogLiklihood: -106296.03711531399
BW-Algo: 29.iteration taking 153.17300009727478 LogLiklihood: -106130.35777646038
BW-Algo: 30.iteration taking 148.09699988365173 LogLiklihood: -105965.53284861651
BW-Algo: 31.iteration taking 167.4280002117157 LogLiklihood: -105798.7582204674
BW-Algo: 32.iteration taking 152.35799980163574 LogLiklihood: -105627.75343785038
BW-Algo: 33.iteration taking 170.9630000591278 LogLiklihood: -105452.33854872591
BW-Algo: 34.iteration taking 164.4409999847412 LogLiklihood: -105272.93262596925
BW-Algo: 35.iteration taking 176.13499999046326 LogLiklihood: -105088.74936743178
BW-Algo: 36.iteration taking 151.54999995231628 LogLiklihood: -104898.35399119642
BW-Algo: 37.iteration taking 165.83300018310547 LogLiklihood: -104700.96878087032
BW-Algo: 38.iteration taking 158.41899991035461 LogLiklihood: -104496.79296992315
BW-Algo: 39.iteration taking 161.30399990081787 LogLiklihood: -104286.00875821884
BW-Algo: 40.iteration taking 179.57400012016296 LogLiklihood: -104067.85097469095
BW-Algo: 41.iteration taking 157.7279999256134 LogLiklihood: -103841.1248822782
BW-Algo: 35.iteration taking 176.13499999046326 LogLiklihood: -105088.74936743178
BW-Algo: 36.iteration taking 151.54999995231628 LogLiklihood: -104898.35399119642
BW-Algo: 37.iteration taking 165.83300018310547 LogLiklihood: -104700.96878087032
BW-Algo: 38.iteration taking 158.41899991035461 LogLiklihood: -104496.79296992315
BW-Algo: 39.iteration taking 161.30399990081787 LogLiklihood: -104286.00875821884
BW-Algo: 40.iteration taking 179.57400012016296 LogLiklihood: -104067.85097469095
BW-Algo: 41.iteration taking 157.7279999256134 LogLiklihood: -103841.1248822782
BW-Algo: 37.iteration taking 165.83300018310547 LogLiklihood: -104700.96878087032
BW-Algo: 38.iteration taking 158.41899991035461 LogLiklihood: -104496.79296992315
BW-Algo: 39.iteration taking 161.30399990081787 LogLiklihood: -104286.00875821884
BW-Algo: 40.iteration taking 179.57400012016296 LogLiklihood: -104067.85097469095
BW-Algo: 41.iteration taking 157.7279999256134 LogLiklihood: -103841.1248822782
BW-Algo: 39.iteration taking 161.30399990081787 LogLiklihood: -104286.00875821884
BW-Algo: 40.iteration taking 179.57400012016296 LogLiklihood: -104067.85097469095
BW-Algo: 41.iteration taking 157.7279999256134 LogLiklihood: -103841.1248822782
BW-Algo: 40.iteration taking 179.57400012016296 LogLiklihood: -104067.85097469095
BW-Algo: 41.iteration taking 157.7279999256134 LogLiklihood: -103841.1248822782
BW-Algo: 42.iteration taking 171.89800000190735 LogLiklihood: -103604.6898975997
BW-Algo: 43.iteration taking 178.15100002288818 LogLiklihood: -103357.65633782175
BW-Algo: 44.iteration taking 146.97399997711182 LogLiklihood: -103100.2900950169
BW-Algo: 43.iteration taking 178.15100002288818 LogLiklihood: -103357.65633782175
BW-Algo: 44.iteration taking 146.97399997711182 LogLiklihood: -103100.2900950169
BW-Algo: 44.iteration taking 146.97399997711182 LogLiklihood: -103100.2900950169
BW-Algo: 45.iteration taking 166.74699997901917 LogLiklihood: -102834.0126196938
BW-Algo: 46.iteration taking 173.5900001525879 LogLiklihood: -102557.95573302572
BW-Algo: 47.iteration taking 151.46299982070923 LogLiklihood: -102271.61961142955
BW-Algo: 48.iteration taking 189.34800004959106 LogLiklihood: -101975.92535774756
BW-Algo: 49.iteration taking 154.92900013923645 LogLiklihood: -101672.7469931767
BW-Algo: 50.iteration taking 198.99000000953674 LogLiklihood: -101364.38596673058
BW-Algo: 51.iteration taking 152.25699996948242 LogLiklihood: -101053.82157131423
BW-Algo: 52.iteration taking 160.36899995803833 LogLiklihood: -100744.44874575916
BW-Algo: 53.iteration taking 190.26399993896484 LogLiklihood: -100440.48473912408
BW-Algo: 54.iteration taking 178.5900001525879 LogLiklihood: -100142.1561324244
BW-Algo: 55.iteration taking 157.68299984931946 LogLiklihood: -99850.45526009773
BW-Algo: 56.iteration taking 187.77800011634827 LogLiklihood: -99567.20203050665
BW-Algo: 57.iteration taking 163.88899993896484 LogLiklihood: -99295.58023174213
BW-Algo: 58.iteration taking 182.21799993515015 LogLiklihood: -99040.42820009025
BW-Algo: 59.iteration taking 157.77300000190735 LogLiklihood: -98802.8175576493
BW-Algo: 46.iteration taking 173.5900001525879 LogLiklihood: -102557.95573302572
BW-Algo: 47.iteration taking 151.46299982070923 LogLiklihood: -102271.61961142955
BW-Algo: 48.iteration taking 189.34800004959106 LogLiklihood: -101975.92535774756
BW-Algo: 49.iteration taking 154.92900013923645 LogLiklihood: -101672.7469931767
BW-Algo: 50.iteration taking 198.99000000953674 LogLiklihood: -101364.38596673058
BW-Algo: 51.iteration taking 152.25699996948242 LogLiklihood: -101053.82157131423
BW-Algo: 52.iteration taking 160.36899995803833 LogLiklihood: -100744.44874575916
BW-Algo: 53.iteration taking 190.26399993896484 LogLiklihood: -100440.48473912408
BW-Algo: 54.iteration taking 178.5900001525879 LogLiklihood: -100142.1561324244
BW-Algo: 55.iteration taking 157.68299984931946 LogLiklihood: -99850.45526009773
BW-Algo: 56.iteration taking 187.77800011634827 LogLiklihood: -99567.20203050665
BW-Algo: 57.iteration taking 163.88899993896484 LogLiklihood: -99295.58023174213
BW-Algo: 58.iteration taking 182.21799993515015 LogLiklihood: -99040.42820009025
BW-Algo: 59.iteration taking 157.77300000190735 LogLiklihood: -98802.8175576493
BW-Algo: 48.iteration taking 189.34800004959106 LogLiklihood: -101975.92535774756
BW-Algo: 49.iteration taking 154.92900013923645 LogLiklihood: -101672.7469931767
BW-Algo: 50.iteration taking 198.99000000953674 LogLiklihood: -101364.38596673058
BW-Algo: 51.iteration taking 152.25699996948242 LogLiklihood: -101053.82157131423
BW-Algo: 52.iteration taking 160.36899995803833 LogLiklihood: -100744.44874575916
BW-Algo: 53.iteration taking 190.26399993896484 LogLiklihood: -100440.48473912408
BW-Algo: 54.iteration taking 178.5900001525879 LogLiklihood: -100142.1561324244
BW-Algo: 55.iteration taking 157.68299984931946 LogLiklihood: -99850.45526009773
BW-Algo: 56.iteration taking 187.77800011634827 LogLiklihood: -99567.20203050665
BW-Algo: 57.iteration taking 163.88899993896484 LogLiklihood: -99295.58023174213
BW-Algo: 58.iteration taking 182.21799993515015 LogLiklihood: -99040.42820009025
BW-Algo: 59.iteration taking 157.77300000190735 LogLiklihood: -98802.8175576493
BW-Algo: 49.iteration taking 154.92900013923645 LogLiklihood: -101672.7469931767
BW-Algo: 50.iteration taking 198.99000000953674 LogLiklihood: -101364.38596673058
BW-Algo: 51.iteration taking 152.25699996948242 LogLiklihood: -101053.82157131423
BW-Algo: 52.iteration taking 160.36899995803833 LogLiklihood: -100744.44874575916
BW-Algo: 53.iteration taking 190.26399993896484 LogLiklihood: -100440.48473912408
BW-Algo: 54.iteration taking 178.5900001525879 LogLiklihood: -100142.1561324244
BW-Algo: 55.iteration taking 157.68299984931946 LogLiklihood: -99850.45526009773
BW-Algo: 56.iteration taking 187.77800011634827 LogLiklihood: -99567.20203050665
BW-Algo: 57.iteration taking 163.88899993896484 LogLiklihood: -99295.58023174213
BW-Algo: 58.iteration taking 182.21799993515015 LogLiklihood: -99040.42820009025
BW-Algo: 59.iteration taking 157.77300000190735 LogLiklihood: -98802.8175576493
BW-Algo: 51.iteration taking 152.25699996948242 LogLiklihood: -101053.82157131423
BW-Algo: 52.iteration taking 160.36899995803833 LogLiklihood: -100744.44874575916
BW-Algo: 53.iteration taking 190.26399993896484 LogLiklihood: -100440.48473912408
BW-Algo: 54.iteration taking 178.5900001525879 LogLiklihood: -100142.1561324244
BW-Algo: 55.iteration taking 157.68299984931946 LogLiklihood: -99850.45526009773
BW-Algo: 56.iteration taking 187.77800011634827 LogLiklihood: -99567.20203050665
BW-Algo: 57.iteration taking 163.88899993896484 LogLiklihood: -99295.58023174213
BW-Algo: 58.iteration taking 182.21799993515015 LogLiklihood: -99040.42820009025
BW-Algo: 59.iteration taking 157.77300000190735 LogLiklihood: -98802.8175576493
BW-Algo: 54.iteration taking 178.5900001525879 LogLiklihood: -100142.1561324244
BW-Algo: 55.iteration taking 157.68299984931946 LogLiklihood: -99850.45526009773
BW-Algo: 56.iteration taking 187.77800011634827 LogLiklihood: -99567.20203050665
BW-Algo: 57.iteration taking 163.88899993896484 LogLiklihood: -99295.58023174213
BW-Algo: 58.iteration taking 182.21799993515015 LogLiklihood: -99040.42820009025
BW-Algo: 59.iteration taking 157.77300000190735 LogLiklihood: -98802.8175576493
BW-Algo: 55.iteration taking 157.68299984931946 LogLiklihood: -99850.45526009773
BW-Algo: 56.iteration taking 187.77800011634827 LogLiklihood: -99567.20203050665
BW-Algo: 57.iteration taking 163.88899993896484 LogLiklihood: -99295.58023174213
BW-Algo: 58.iteration taking 182.21799993515015 LogLiklihood: -99040.42820009025
BW-Algo: 59.iteration taking 157.77300000190735 LogLiklihood: -98802.8175576493
BW-Algo: 56.iteration taking 187.77800011634827 LogLiklihood: -99567.20203050665
BW-Algo: 57.iteration taking 163.88899993896484 LogLiklihood: -99295.58023174213
BW-Algo: 58.iteration taking 182.21799993515015 LogLiklihood: -99040.42820009025
BW-Algo: 59.iteration taking 157.77300000190735 LogLiklihood: -98802.8175576493
BW-Algo: 57.iteration taking 163.88899993896484 LogLiklihood: -99295.58023174213
BW-Algo: 58.iteration taking 182.21799993515015 LogLiklihood: -99040.42820009025
BW-Algo: 59.iteration taking 157.77300000190735 LogLiklihood: -98802.8175576493
BW-Algo: 59.iteration taking 157.77300000190735 LogLiklihood: -98802.8175576493
BW-Algo: 60.iteration taking 187.62400007247925 LogLiklihood: -98578.87637358948
BW-Algo: 61.iteration taking 166.32699990272522 LogLiklihood: -98371.901951539
BW-Algo: 62.iteration taking 160.9430000782013 LogLiklihood: -98181.12000940979
BW-Algo: 63.iteration taking 176.57400012016296 LogLiklihood: -98008.2221860378
BW-Algo: 64.iteration taking 181.41999983787537 LogLiklihood: -97852.35817473833
BW-Algo: 65.iteration taking 163.4409999847412 LogLiklihood: -97707.43688193306
BW-Algo: 66.iteration taking 180.7369999885559 LogLiklihood: -97573.981382219
BW-Algo: 67.iteration taking 191.3400001525879 LogLiklihood: -97451.3884841996
BW-Algo: 68.iteration taking 187.2849998474121 LogLiklihood: -97336.15910892923
BW-Algo: 69.iteration taking 189.07400012016296 LogLiklihood: -97228.50634119418
BW-Algo: 70.iteration taking 186.99899983406067 LogLiklihood: -97128.5158739938
BW-Algo: 71.iteration taking 182.44600009918213 LogLiklihood: -97038.26644822251
BW-Algo: 72.iteration taking 153.66400003433228 LogLiklihood: -96957.35913542559
BW-Algo: 73.iteration taking 183.68499994277954 LogLiklihood: -96882.2631951781
BW-Algo: 74.iteration taking 166.8159999847412 LogLiklihood: -96811.28600117976
BW-Algo: 75.iteration taking 160.6890001296997 LogLiklihood: -96747.1829336531
BW-Algo: 76.iteration taking 158.2739999294281 LogLiklihood: -96688.83400540937
BW-Algo: 77.iteration taking 162.37700009346008 LogLiklihood: -96633.90870662377
BW-Algo: 78.iteration taking 174.02099990844727 LogLiklihood: -96581.23954330871
BW-Algo: 79.iteration taking 160.04399991035461 LogLiklihood: -96531.57849458091
BW-Algo: 80.iteration taking 193.27400016784668 LogLiklihood: -96487.80159414254
BW-Algo: 81.iteration taking 157.64100003242493 LogLiklihood: -96446.94602728143
BW-Algo: 82.iteration taking 154.82099986076355 LogLiklihood: -96406.56403489312
BW-Algo: 83.iteration taking 166.19799995422363 LogLiklihood: -96368.56445627174
BW-Algo: 84.iteration taking 155.34599995613098 LogLiklihood: -96332.66656106751
BW-Algo: 85.iteration taking 176.7370002269745 LogLiklihood: -96298.10991406429
BW-Algo: 86.iteration taking 159.54199981689453 LogLiklihood: -96264.9657783809
BW-Algo: 87.iteration taking 186.614000082016 LogLiklihood: -96235.30502145269
BW-Algo: 88.iteration taking 184.41100001335144 LogLiklihood: -96209.68211841323
BW-Algo: 89.iteration taking 159.74000000953674 LogLiklihood: -96186.68445876244
BW-Algo: 90.iteration taking 178.58200001716614 LogLiklihood: -96164.54028608391
BW-Algo: 91.iteration taking 156.13899993896484 LogLiklihood: -96141.92881211775
BW-Algo: 92.iteration taking 188.25500011444092 LogLiklihood: -96118.95835682904
BW-Algo: 93.iteration taking 164.84899997711182 LogLiklihood: -96095.74175924984
BW-Algo: 94.iteration taking 173.27699995040894 LogLiklihood: -96070.81466809154
BW-Algo: 95.iteration taking 156.49399995803833 LogLiklihood: -96044.62093117347
BW-Algo: 96.iteration taking 187.6949999332428 LogLiklihood: -96019.46027459575
BW-Algo: 97.iteration taking 164.32400012016296 LogLiklihood: -95997.0002285993
BW-Algo: 98.iteration taking 180.62599992752075 LogLiklihood: -95978.62453550639
BW-Algo: 99.iteration taking 182.23399996757507 LogLiklihood: -95963.03544626458
BW-Algo: 100.iteration taking 175.34899997711182 LogLiklihood: -95948.5503433139
