VarA,VarB,Value
25,10,"((-49024.79269298108, -97916.31983997815), 0.813938142950405)"
25,20,"((-47999.74856021098, -95703.0007579321), 0.8100549877022264)"
25,30,"((-47643.49965416767, -95064.78671056911), 0.797553649803805)"
25,35,"((-47081.46454323684, -93936.64955600059), 0.785374736611865)"
25,40,"((-47010.84780512792, -93895.07291560274), 0.7879889040454279)"
25,45,"((-46890.149302718, -93562.22643584093), 0.7861478087373132)"
25,50,"((-47122.874568273386, -94116.76123133197), 0.78651267831802)"
25,55,"((-46609.59146701744, -93000.44937675042), 0.7791219170170611)"
25,60,"((-46578.30242804295, -92934.92499534969), 0.7884979929614349)"
50,10,"((-60842.47449451461, -121318.34784578043), 0.7910732639471896)"
50,20,"((-60145.57026913912, -119911.28814618874), 0.7829383158167638)"
50,30,"((-59701.367896591255, -119166.66715637545), 0.7493875677559103)"
50,35,"((-58880.45054210763, -117469.1464550868), 0.7558329071970966)"
50,40,"((-58945.117561851934, -117652.8277741957), 0.7468754382935806)"
50,45,"((-58768.39277074613, -117307.18276356795), 0.7366424044174799)"
50,50,"((-58711.38610995631, -117069.94312012894), 0.7471360308869774)"
50,55,"((-58735.07823471885, -117163.88962192128), 0.7648691591362442)"
50,60,"((-58638.66261413344, -116989.02529944117), 0.7375808432525984)"
100,10,"((-73234.87745375087, -145945.39596967804), 0.7814380456627635)"
100,20,"((-72366.3042563127, -144133.90930534754), 0.773258180173117)"
100,30,"((-71549.81224205821, -142511.61537905672), 0.7440360014083047)"
100,35,"((-71200.54666394899, -141850.3048037761), 0.7283913357372208)"
100,40,"((-70674.20353611774, -140805.7432666155), 0.7196925501306892)"
100,45,"((-70724.26049825517, -140868.7227291225), 0.7545252872832865)"
100,50,"((-70661.58748098352, -140801.4439247168), 0.746116223887508)"
100,55,"((-70694.4445803145, -140745.02747469893), 0.7420626201239433)"
100,60,"((-70788.79713371652, -141110.90923652134), 0.7321114534375641)"
200,10,"((-85252.07692548458, -169828.68138866418), 0.7796275982657156)"
200,20,"((-84395.34222927297, -168101.82910518782), 0.7546903688442951)"
200,30,"((-83559.21472171586, -166378.59451833146), 0.7554542629975297)"
200,35,"((-83479.56075030705, -166341.64657944415), 0.755116786925022)"
200,40,"((-83261.19038516411, -165664.66020472397), 0.7409097000738897)"
200,45,"((-82571.35845653554, -164371.98848631757), 0.7359218310610308)"
200,50,"((-82070.84849830685, -163560.24917155723), 0.7365815631972561)"
200,55,"((-82400.99399487957, -163937.26367740092), 0.731476052584359)"
200,60,"((-82350.03157423757, -163853.2816252264), 0.738804342256188)"
