VarA,VarB,Value
10,10,"((-67057.09790308174, -66854.88248815453), 1.1570711920138983)"
10,20,"((-66304.27956331779, -65495.871388100524), 1.1568094660126989)"
10,30,"((-65933.03061949491, -65082.811656949634), 1.1597974705648646)"
10,40,"((-65844.45748797023, -64632.36434318776), 1.164930131263427)"
10,50,"((-65806.36213722778, -64022.35054017691), 1.1614240745393398)"
10,60,"((-65326.95797135192, -63537.60811632984), 1.161195836484924)"
25,10,"((-98351.74601526506, -97916.31983997815), 0.8813237903607566)"
25,20,"((-96748.6542942677, -95703.0007579321), 0.8791700746869593)"
25,30,"((-96513.4057285102, -95064.78671056911), 0.872564082632472)"
25,40,"((-95791.91969636439, -93895.07291560274), 0.8700150769468041)"
25,50,"((-96337.59462182879, -94116.76123133197), 0.8777317295187371)"
25,60,"((-95642.56141773016, -92934.92499534969), 0.8724544578588177)"
50,10,"((-122252.70367466431, -121318.34784578043), 0.855076022606011)"
50,20,"((-121240.07571482606, -119911.28814618874), 0.848181739023408)"
50,30,"((-120900.53758112899, -119166.66715637545), 0.8304759541692367)"
50,40,"((-120114.32544325481, -117652.8277741957), 0.8265626556205771)"
50,50,"((-120165.5937384995, -117069.94312012894), 0.8268754099306973)"
50,60,"((-120562.06608020981, -116989.02529944117), 0.829354821680043)"
100,10,"((-146922.8600204104, -145945.39596967804), 0.8449582896292805)"
100,20,"((-146135.87068905064, -144133.90930534754), 0.8418110454854895)"
100,30,"((-145556.74133234101, -142511.61537905672), 0.8214753862499705)"
100,40,"((-145244.05927055344, -140805.7432666155), 0.8129404846527077)"
100,50,"((-145856.77706701972, -140801.4439247168), 0.8324961112570225)"
100,60,"((-146966.4722469445, -141110.90923652134), 0.8267306450632164)"
200,10,"((-171526.76231583938, -169828.68138866418), 0.8472972977423723)"
200,20,"((-171393.6194522265, -168101.82910518782), 0.831209269395624)"
200,30,"((-171947.43756403262, -166378.59451833146), 0.8430129817483849)"
200,40,"((-172474.3578666313, -165664.66020472397), 0.8363628147462989)"
200,50,"((-172931.8009131804, -163560.24917155723), 0.8476499643655937)"
200,60,"((-174341.8399090728, -163853.2816252264), 0.8399188140062461)"
