VarA,VarB,Value
25,10,"((-28810.952993627667, -26930.31787642414), 0.9098750444833482)"
25,20,"((-28496.670462025526, -26557.67694066775), 0.8953372329428153)"
25,30,"((-28499.51446528682, -26542.090311232547), 0.8959694219334536)"
25,40,"((-28562.46110792982, -26611.3699865434), 0.8942398255611685)"
25,50,"((-28472.551449158447, -26442.999731433312), 0.8977093995245436)"
25,60,"((-28579.601788971973, -26579.41772822459), 0.8953986058255999)"
50,10,"((-43829.439752343475, -41274.93093233358), 0.8664636217494864)"
50,20,"((-43187.59448338048, -40204.95900318827), 0.8300991565509026)"
50,30,"((-42948.613690071776, -39564.95246190987), 0.8350911263218279)"
50,40,"((-43069.365714830885, -39563.148760729426), 0.8344728586284988)"
50,50,"((-43142.65738832946, -39457.31774941534), 0.8337386661066699)"
50,60,"((-42903.98963642382, -39259.41995157399), 0.833231445047652)"
100,10,"((-64811.449739423966, -61107.46645219452), 0.8384044440608336)"
100,20,"((-63452.780929953966, -59683.08707164813), 0.8429202762687958)"
100,30,"((-63092.78275729831, -58734.98927439269), 0.8218891973184013)"
100,40,"((-63193.56525164251, -58533.17401393707), 0.8231261040213665)"
100,50,"((-62797.73057438683, -57328.408087826436), 0.819061149926598)"
100,60,"((-62610.52271163829, -56893.49823869699), 0.8201272906436972)"
200,10,"((-86685.37421246708, -82932.53380715458), 0.8512908623220005)"
200,20,"((-85879.05598073552, -81303.77107384929), 0.8295490379634397)"
200,30,"((-85704.26374523703, -79821.0409614536), 0.8348112966583541)"
200,40,"((-85236.03086709348, -79277.97594452917), 0.8302850528193213)"
200,50,"((-85512.35674942062, -79341.8619491283), 0.8396807783351925)"
200,60,"((-86225.7914070505, -78898.28967255348), 0.8353869507966335)"
