Observations,States,LogLikeTest,LogLikeTrain,CRPS
25,10,-47278.55338686973, -96148.17096263943, 0.8602951915714512
25,20,-47023.479596388366, -95585.30302304341, 0.8562323921734545
25,30,-46809.780552356504, -95095.97536962721, 0.8405770544601403
25,40,-46430.96907275892, -94438.45627058935, 0.8365396592974216
25,50,-46017.77700180793, -93826.88136425994, 0.8333474659386972
25,60,-46140.89171305116, -93906.90675185938, 0.8326346927928148
25,70,-45978.76534872274, -93528.4760210448, 0.8322998968545201
25,80,-45803.224838255046, -93040.00884079398, 0.8354293574769948
50,10,-59659.48605478079, -120734.28231721866, 0.8173677012812675
50,20,-58871.24273616782, -119276.34284446717, 0.8114032127223212
50,30,-58637.69707451767, -118656.21600013811, 0.7854212399695267
50,40,-58483.62995298632, -118365.7074033057, 0.7842954611831462
50,50,-58057.84665016789, -117599.154974714, 0.772235092182681
50,60,-58081.97160467421, -117495.14416208581, 0.7785661346828441
50,70,-57884.255683409894, -117121.31164453106, 0.7917676835059528
50,80,-57621.06054358481, -116675.22841298442, 0.7886039437125939
100,10,-71496.35777321566, -144384.92161944785, 0.8251905026035361
100,20,-70896.1392484973, -143194.14291498985, 0.8057171569102477
100,30,-70629.10237306135, -142511.6987485343, 0.7876940873403608
100,40,-70203.27948799671, -141680.54487219724, 0.771507280848345
100,50,-69984.273272396, -141264.01892703015, 0.7787573707775323
100,60,-69650.34193334242, -140604.70908712028, 0.7559431202553835
100,70,-69470.14187606447, -140279.03050248936, 0.7612211963919701
100,80,-69314.55079251353, -139835.86251829832, 0.7688367503440925
200,10,-83624.17348522245, -168497.76533803542, 0.8157948557234492
200,20,-82872.54461980783, -167008.37108945177, 0.7970459536446519
200,30,-82390.98698957176, -165969.78609191056, 0.8097518003911923
200,40,-82095.03379513093, -165189.71321125835, 0.7716384294111721
200,50,-81466.56808186554, -164199.27402536204, 0.7876769175352701
200,60,-81015.2940528011, -162960.68304432987, 0.7610234202614465
200,70,-80693.07000533931, -162363.8676389705, 0.7555209933234611
200,80,-80333.07143775006, -161561.86127104095, 0.7352993702965115
25,100,-45358.29550317109, -92184.97154794961, 0.8241345676264409
50,100,-57258.54719877176, -115754.54707953766, 0.768791505563005
100,100,-68706.51680474597, -138372.44602611492, 0.7474785030939672
200,100,-80080.59854855109, -161007.38536959008, 0.7972002652136945
