Observations,States,LogLikeTest,LogLikeTrain,CRPS
25,10,-13966.34981737279,-23213.585020147326,0.9992926845838519
25,20,-13862.407114908983,-22945.203627869014,0.9831192066569986
25,30,-13724.315008132247,-22925.872245355127,0.9897174280304946
25,40,-13683.781739189984,-22649.26311396711,0.9701145507343742
25,50,-13648.71924349631,-22701.974524149213,0.9764602389128385
25,60,-13649.999894671357,-22590.992334736773,0.971454369246929
25,70,-13665.808041795659,-22682.455115390094,0.9764267217157114
25,80,-13653.002766425827,-22561.85415306411,0.9704932391648221
50,10,-24421.745684863166,-42678.40683328746,0.99181949109484
50,20,-24141.618042234535,-42190.08509076352,0.959505549689046
50,30,-23872.48581402054,-41920.13385720386,0.9529471999171496
50,40,-23881.750347860085,-41494.28414996074,0.9463948586831371
50,50,-23819.6746970404,-41565.01250638735,0.9417586522826135
50,60,-23718.72217478037,-41370.487373823715,0.9413755058855219
50,70,-23749.210836126724,-41256.850541181804,0.9476140020663884
50,80,-23894.09524625129,-41147.18778018869,0.949303407940022
100,10,-32792.25236736067,-56847.01466094951,0.9689686536459787
100,20,-31946.092908154787,-55883.762398198116,0.945537037813994
100,30,-31853.992667657876,-55703.114690707844,0.9364894549134652
100,40,-31666.759575287615,-55071.44837041877,0.9242448355084987
100,50,-31400.209364252045,-54583.3707733591,0.9156861918319932
100,60,-31462.97894993055,-54348.02166386746,0.9235845168443003
100,70,-31780.429517800316,-54359.935054396716,0.9282131230562443
100,80,-31776.165247816087,-54410.538371981376,0.9229274358310502
200,10,-44077.95368520745,-77233.0833742781,0.9739450751098001
200,20,-44053.37339637328,-76297.48371700407,0.9579467136901895
200,30,-43762.55106548386,-75879.11411197716,0.9470428905734678
200,40,-43369.42827550418,-74951.99297524808,0.9589923972940311
200,50,-43944.432950985516,-74613.06663050281,0.9768736604361113
200,60,-43745.52241645265,-74492.197086534,0.9631944561078092
200,70,-43859.56434330672,-73947.63374963848,0.9715722893660782
200,80,-43270.30031235873,-73949.59985062135,0.9553450378809962
25,100,-13655.337097609161,-22394.46831160311,0.9660573979434619
50,100,-23937.634493613994,-40996.846664721255,0.9502124187998993
100,100,-31598.446004592435,-54153.27779690945,0.9260903524246032
200,100,-44417.58507181319,-72980.57261721669,0.9839830175793264
