VarA,VarB,Value
25,10,"((-13045.365644768914, -25828.791003853003), 0.771653709146566)"
25,20,"((-12678.526444483603, -25174.155941867495), 0.762992098544295)"
25,30,"((-12579.00112214986, -24983.291117615627), 0.7595358894450276)"
25,40,"((-12269.219317243718, -24293.76723024003), 0.7418211503274139)"
25,50,"((-12392.388951150664, -24604.865469471886), 0.751866573997868)"
25,60,"((-12066.304059206412, -23982.387921730027), 0.7305817362560919)"
25,70,"((-12146.244131572395, -24087.031044401843), 0.7323137845636559)"
25,80,"((-12023.319773571004, -23850.234375185995), 0.7217885941624229)"
50,10,"((-22830.858323015837, -45145.00733682697), 0.7425802454383483)"
50,20,"((-20902.665782101416, -41208.53408870398), 0.7126600889329766)"
50,30,"((-20586.075246390814, -40798.437330208544), 0.7104728168458124)"
50,40,"((-19938.466808613975, -39480.69718550012), 0.690532911393014)"
50,50,"((-19856.721889531036, -39211.14039163161), 0.6896530792542049)"
50,60,"((-19935.307740965203, -39340.553264259644), 0.6895529814876364)"
50,70,"((-19361.804830268542, -38278.44766366192), 0.6679568440619015)"
50,80,"((-19269.173119397467, -38043.30716983421), 0.6677806019246005)"
100,10,"((-29691.68246504553, -58900.31192071976), 0.7756954779710983)"
100,20,"((-27450.817136960166, -54468.57377624909), 0.6829962141143958)"
100,30,"((-26832.980536555482, -53264.258522802826), 0.6840640707802218)"
100,40,"((-26430.38646229201, -52518.25357305013), 0.6647153475783725)"
100,50,"((-26081.525082221393, -51695.64410569402), 0.6560176144877634)"
100,60,"((-25778.11838313518, -51168.37067324242), 0.6458195580864269)"
100,70,"((-25618.829273039595, -50799.204523282664), 0.6402260033800031)"
100,80,"((-25555.668946311103, -50711.281291039704), 0.6440947207525507)"
200,10,"((-41173.28233858623, -81280.18845091612), 0.7427510820398715)"
200,20,"((-38486.263045295316, -75750.0980926455), 0.6904822604542072)"
200,30,"((-39302.14094805735, -77554.15316552379), 0.6771215966759132)"
200,40,"((-36872.13583233062, -72694.8637858727), 0.662912738357665)"
200,50,"((-36430.79963442794, -71828.70619621349), 0.6585207678281753)"
200,60,"((-35996.76747082117, -70981.92867122221), 0.6487773582976069)"
200,70,"((-35722.11133794197, -70319.04706281799), 0.641446006587225)"
200,80,"((-35426.445069476904, -69838.88805662209), 0.6451385767797091)"
