NumberOfStates,HistoricWindowLength,mae
10,5,132.44442262213076
10,10,125.80814156405754
10,50,125.70086708594596
10,100,125.70086708532341
20,5,122.98820858353064
20,10,123.69040068930632
20,50,122.51261239866714
20,100,122.47769858941673
40,5,125.16002031484405
40,10,120.7727684456077
40,50,120.34336483361467
40,100,120.34345217136678
60,5,126.1497297748845
60,10,124.20891751577336
60,50,120.7036680656474
60,100,120.66932778190076
80,5,131.04435626239078
80,10,121.04511813031931
80,50,119.89606172304451
80,100,119.89514494003087
