NumberOfStates,HistoricWindowLength,mae
10,5,92712.47004528443
10,10,92120.08123076284
10,50,92079.55983115506
10,100,92079.55983115647
20,5,89594.75785914528
20,10,88779.86321968108
20,50,88667.16592897348
20,100,88473.92165226353
40,5,87052.9921802352
40,10,85911.21619311905
40,50,85564.16053295367
40,100,85564.22317691533
60,5,90343.8651942273
60,10,87739.39488249233
60,50,86391.57227042028
60,100,86251.9446239752
80,5,86252.83529476526
80,10,85309.73136701522
80,50,85330.49148111395
80,100,85328.41322294809
