NumberOfStates,HistoricWindowLength,mae
10,1,122.8962813464398
10,5,125.73388384407495
10,10,125.71593675641029
10,20,125.70124085143703
20,1,121.13098823827906
20,5,122.62753754267324
20,10,122.33997152222088
20,20,122.2668955571573
30,1,121.15361797889861
30,5,124.41937644023668
30,10,124.29284852245893
30,20,124.34821600464204
40,1,119.86664598887391
40,5,121.08339131511899
40,10,120.5756480394087
40,20,120.34272099687666
50,1,120.56557868793189
50,5,121.23297504779481
50,10,120.81617979863249
50,20,120.80618965864436
60,1,120.17959967278014
60,5,121.20513468061817
60,10,120.4072147091558
60,20,120.31327091236834
80,1,120.0615950839176
80,5,120.39754510651856
80,10,119.89588536063455
80,20,119.87750130389172
100,1,120.8977905919832
100,5,122.47727944923949
100,10,121.4062734631271
100,20,121.59463362766735
