NumberOfStates,HistoricWindowLength,mae
10,1,319509.2803218791
10,5,320363.15808246547
10,10,320306.3229972206
10,20,320306.52148562984
20,1,313784.70115822356
20,5,298818.3759236594
20,10,298212.471004607
20,20,298226.86222403595
30,1,309749.83837389376
30,5,293632.99870668893
30,10,293543.09139951033
30,20,293541.920314547
40,1,309257.50042367284
40,5,292455.35719006613
40,10,292496.19702642126
40,20,292435.1642724052
50,1,310262.47382879886
50,5,288290.1632155074
50,10,288275.8111931139
50,20,288317.86249104457
60,1,312944.23282883986
60,5,295548.68516781577
60,10,294915.3925904311
60,20,295165.83226864325
80,1,313521.17060690216
80,5,297869.0137369047
80,10,297695.77957851806
80,20,297681.763058516
100,1,309221.14635737607
100,5,292687.79037177505
100,10,292605.86769008415
100,20,292632.44440818316
