NumberOfStates,HistoricWindowLength,mae
10,1,0.5968828320802005
10,5,0.5924968671679198
10,10,0.6018953634085213
10,20,0.6024436090225563
20,1,0.5977443609022557
20,5,0.5939066416040101
20,10,0.6131735588972431
20,20,0.612390350877193
30,1,0.5973527568922306
30,5,0.5935933583959899
30,10,0.6186560150375939
30,20,0.6198308270676691
40,1,0.5967261904761905
40,5,0.5973527568922306
40,10,0.618421052631579
40,20,0.6199874686716792
50,1,0.5971177944862155
50,5,0.599859022556391
50,10,0.618577694235589
50,20,0.6170895989974937
60,1,0.5975877192982456
60,5,0.5967261904761905
60,10,0.6172462406015038
60,20,0.6223370927318296
80,1,0.5971961152882206
80,5,0.5979793233082706
80,10,0.6190476190476191
80,20,0.6208489974937343
100,1,0.5971961152882206
100,5,0.5979010025062657
100,10,0.6247650375939849
100,20,0.6248433583959899
