NumberOfStates,HistoricWindowLength,mae
10,1,105.94110275689223
10,5,106.19893483709274
10,10,106.25187969924812
10,20,106.2454573934837
20,1,107.625
20,5,106.66212406015038
20,10,106.6375313283208
20,20,106.671992481203
30,1,106.9888784461153
30,5,105.43984962406014
30,10,105.52161654135338
30,20,105.41071428571429
40,1,107.36497493734336
40,5,102.29620927318295
40,10,102.18170426065163
40,20,102.25861528822055
50,1,106.19611528822055
50,5,103.60635964912281
50,10,103.50172305764411
50,20,103.40272556390977
60,1,106.42528195488721
60,5,105.15883458646617
60,10,105.06954887218045
60,20,105.03477443609023
80,1,107.06531954887218
80,5,105.54244987468671
80,10,105.25
80,20,105.31610275689223
100,1,106.83991228070175
100,5,104.97994987468671
100,10,104.74968671679198
100,20,104.91917293233082
